Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
JZI,Airlines,Online,Basic Plan,No,104.0,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,M,34.0
EPX,Travel Agency,Online,Cancellation Plan,No,47.0,CHILE,80.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,63.0,CHINA,35.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,39.0,INDONESIA,20.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,21.0,INDIA,29.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,2.0,MALAYSIA,18.0,6.3,M,44.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7.0,HONG KONG,21.0,0.0,,58.0
EPX,Travel Agency,Online,Cancellation Plan,No,4.0,THAILAND,31.0,0.0,,32.0
JZI,Airlines,Online,Basic Plan,No,3.0,MALAYSIA,18.0,6.3,M,45.0
JWT,Airlines,Online,Value Plan,No,1.0,INDIA,62.0,24.8,M,118.0
EPX,Travel Agency,Online,Cancellation Plan,No,76.0,UNITED STATES,25.0,0.0,,62.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,275.0,MALAYSIA,69.3,41.58,,57.0
EPX,Travel Agency,Online,Cancellation Plan,No,15.0,INDONESIA,46.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11.0,HONG KONG,35.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,99.0,THAILAND,20.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,14.0,HONG KONG,26.0,9.1,F,43.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,13.0,UNITED ARAB EMIRATES,69.3,41.58,,31.0
EPX,Travel Agency,Online,Cancellation Plan,No,11.0,PHILIPPINES,10.0,0.0,,36.0
SSI,Airlines,Online,Ticket Protector,No,163.0,SINGAPORE,7.21,2.02,,48.0
EPX,Travel Agency,Online,Cancellation Plan,No,83.0,"TAIWAN, PROVINCE OF CHINA",16.0,0.0,,31.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,42.0,"KOREA, REPUBLIC OF",70.0,0.0,,36.0
JZI,Airlines,Online,Value Plan,No,4.0,INDONESIA,33.0,11.55,M,51.0
