Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commission (in value),Gender,Age
Airlines,Online,Basic Plan,No,104.0,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,M,34.0
Airlines,Online,Basic Plan,No,2.0,MALAYSIA,18.0,6.3,M,44.0
Airlines,Online,Basic Plan,No,3.0,MALAYSIA,18.0,6.3,M,45.0
Airlines,Online,Value Plan,No,1.0,INDIA,62.0,24.8,M,118.0
Airlines,Online,Basic Plan,No,14.0,HONG KONG,26.0,9.1,F,43.0
Airlines,Online,Value Plan,No,4.0,INDONESIA,33.0,11.55,M,51.0
Airlines,Online,Basic Plan,No,14.0,THAILAND,22.0,7.7,M,44.0
Airlines,Online,Value Plan,No,7.0,BRUNEI DARUSSALAM,15.0,6.0,M,71.0
Airlines,Online,Bronze Plan,No,31.0,SINGAPORE,27.0,6.75,M,14.0
Airlines,Online,Value Plan,No,24.0,"KOREA, REPUBLIC OF",58.0,20.3,F,23.0
Airlines,Online,Gold Plan,No,7.0,SINGAPORE,35.1,8.78,M,21.0
Airlines,Online,Basic Plan,No,189.0,AUSTRALIA,26.0,9.1,F,40.0
Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,22.1,5.53,M,22.0
Airlines,Online,Basic Plan,No,226.0,AUSTRALIA,35.0,12.25,F,55.0
Airlines,Online,Basic Plan,No,1.0,MALAYSIA,18.0,6.3,F,45.0
Airlines,Online,Basic Plan,No,41.0,CHINA,35.0,12.25,M,47.0
Airlines,Online,Bronze Plan,No,30.0,SINGAPORE,69.55,17.39,M,27.0
Airlines,Online,Basic Plan,No,97.0,PHILIPPINES,37.0,12.95,F,27.0
Airlines,Online,Basic Plan,No,20.0,CHINA,44.0,15.4,F,24.0
Airlines,Online,Annual Silver Plan,No,366.0,SINGAPORE,252.85,63.21,M,53.0
Airlines,Online,Basic Plan,No,10.0,CHINA,35.0,12.25,M,59.0
Airlines,Online,Value Plan,No,18.0,CHINA,61.0,21.35,M,118.0
Airlines,Online,Basic Plan,No,17.0,CAMBODIA,33.0,11.55,M,45.0
Airlines,Online,Value Plan,No,15.0,HONG KONG,36.0,12.6,F,38.0
Airlines,Online,Basic Plan,No,12.0,CHINA,-26.0,9.1,F,33.0
Airlines,Online,Basic Plan,No,69.0,PHILIPPINES,37.0,12.95,F,39.0
Travel Agency,Online,Premier Plan,No,12.0,INDONESIA,29.0,11.02,M,48.0
Airlines,Online,Basic Plan,No,202.0,CHINA,44.0,15.4,M,53.0
Airlines,Online,Basic Plan,No,15.0,THAILAND,30.0,10.5,F,33.0
Airlines,Online,Silver Plan,No,6.0,SINGAPORE,18.5,4.63,F,27.0
Airlines,Online,Gold Plan,Yes,33.0,SINGAPORE,68.6,17.15,M,72.0
Airlines,Online,Basic Plan,No,17.0,THAILAND,22.0,7.7,F,59.0
Travel Agency,Offline,Comprehensive Plan,No,43.0,MALAYSIA,29.0,9.57,F,87.0
Travel Agency,Online,Value Plan,No,33.0,SPAIN,109.0,41.42,M,48.0
Airlines,Online,Silver Plan,No,9.0,SINGAPORE,32.5,8.13,M,62.0
Airlines,Online,Basic Plan,No,5.0,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,F,70.0
Travel Agency,Offline,Comprehensive Plan,No,4.0,THAILAND,29.0,9.57,F,16.0
Airlines,Online,Basic Plan,No,19.0,INDIA,35.0,12.25,F,66.0
Travel Agency,Offline,Comprehensive Plan,No,49.0,THAILAND,29.0,9.57,F,76.0
Travel Agency,Offline,Comprehensive Plan,No,13.0,THAILAND,29.0,9.57,F,83.0
Airlines,Online,Value Plan,No,1.0,BRUNEI DARUSSALAM,15.0,6.0,M,46.0
Airlines,Online,Basic Plan,No,69.0,HONG KONG,22.0,7.7,M,67.0
Travel Agency,Offline,Comprehensive Plan,No,11.0,MALAYSIA,29.0,9.57,F,118.0
Travel Agency,Offline,Comprehensive Plan,No,6.0,THAILAND,29.0,9.57,F,118.0
Airlines,Online,Basic Plan,No,17.0,THAILAND,18.0,6.3,M,55.0
Airlines,Online,Bronze Plan,No,21.0,SINGAPORE,52.65,13.16,F,27.0
Airlines,Online,Value Plan,No,19.0,BRUNEI DARUSSALAM,0.0,6.0,F,58.0
Airlines,Online,Value Plan,No,15.0,INDIA,50.0,20.0,F,118.0
Airlines,Online,Silver Plan,No,34.0,SINGAPORE,109.0,27.25,F,27.0
Airlines,Online,Basic Plan,No,6.0,HONG KONG,26.0,9.1,M,27.0
Travel Agency,Online,Value Plan,No,76.0,SPAIN,75.0,28.5,F,48.0
Airlines,Online,Basic Plan,No,32.0,CHINA,35.0,12.25,M,29.0
Travel Agency,Offline,Comprehensive Plan,No,11.0,THAILAND,29.0,9.57,F,16.0
Airlines,Online,Basic Plan,No,35.0,PHILIPPINES,22.0,7.7,M,56.0
Airlines,Online,Value Plan,No,127.0,AUSTRALIA,23.0,9.2,M,71.0
Airlines,Online,Basic Plan,No,23.0,HONG KONG,26.0,9.1,M,62.0
Airlines,Online,Value Plan,No,7.0,JAPAN,45.0,15.75,M,43.0
Airlines,Online,Silver Plan,No,9.0,SINGAPORE,27.75,6.94,F,11.0
Airlines,Online,Annual Silver Plan,No,367.0,SINGAPORE,252.85,63.21,M,57.0
Airlines,Online,Bronze Plan,No,15.0,SINGAPORE,30.55,7.64,M,28.0
Airlines,Online,Basic Plan,No,27.0,CHINA,40.0,14.0,M,49.0
Airlines,Online,Value Plan,No,1.0,INDIA,124.0,49.6,M,118.0
Airlines,Online,Basic Plan,No,75.0,"KOREA, REPUBLIC OF",26.0,9.1,F,23.0
Airlines,Online,Basic Plan,No,3.0,CHINA,22.0,7.7,M,34.0
Airlines,Online,Value Plan,No,25.0,INDIA,50.0,20.0,M,118.0
Travel Agency,Offline,Comprehensive Plan,No,29.0,MALAYSIA,29.0,9.57,F,8.0
Airlines,Online,Value Plan,No,96.0,BRUNEI DARUSSALAM,15.0,6.0,F,33.0
Airlines,Online,Basic Plan,No,66.0,INDONESIA,30.0,10.5,F,33.0
Airlines,Online,Basic Plan,No,22.0,"TAIWAN, PROVINCE OF CHINA",40.0,14.0,F,50.0
Airlines,Online,Basic Plan,No,127.0,CHINA,40.0,14.0,M,32.0
Airlines,Online,Value Plan,No,42.0,CHINA,92.0,32.2,F,53.0
Airlines,Online,Basic Plan,No,55.0,JAPAN,35.0,12.25,M,28.0
Airlines,Online,Basic Plan,No,12.0,VIET NAM,22.0,7.7,F,31.0
Airlines,Online,Silver Plan,No,7.0,SINGAPORE,37.5,9.38,F,52.0
Airlines,Online,Basic Plan,No,32.0,PHILIPPINES,52.0,18.2,F,28.0
Airlines,Online,Silver Plan,No,12.0,SINGAPORE,35.5,8.88,M,26.0
Airlines,Online,Bronze Plan,No,31.0,SINGAPORE,61.1,15.28,F,31.0
Airlines,Online,Bronze Plan,No,8.0,SINGAPORE,23.4,5.85,F,33.0
Airlines,Online,Value Plan,No,13.0,HONG KONG,51.0,17.85,M,118.0
Airlines,Online,Basic Plan,No,105.0,INDONESIA,37.0,12.95,F,40.0
Airlines,Online,Bronze Plan,No,15.0,SINGAPORE,34.5,8.63,M,28.0
Travel Agency,Offline,Comprehensive Plan,No,6.0,THAILAND,29.0,9.57,M,30.0
Airlines,Online,Basic Plan,No,12.0,HONG KONG,26.0,9.1,M,52.0
Airlines,Online,Basic Plan,No,20.0,MALAYSIA,22.0,7.7,M,40.0
Airlines,Online,Annual Gold Plan,No,378.0,SINGAPORE,278.85,69.71,M,50.0
Airlines,Online,Basic Plan,No,19.0,VIET NAM,22.0,7.7,F,44.0
Airlines,Online,Basic Plan,No,21.0,"KOREA, REPUBLIC OF",0.0,12.25,F,35.0
Airlines,Online,Basic Plan,No,19.0,THAILAND,30.0,10.5,M,47.0
Airlines,Online,Basic Plan,No,2.0,MALAYSIA,18.0,6.3,F,31.0
Airlines,Online,Gold Plan,No,48.0,SINGAPORE,114.75,28.69,F,47.0
Airlines,Online,Value Plan,No,15.0,SWITZERLAND,87.0,30.45,F,45.0
Airlines,Online,Basic Plan,No,2.0,CHINA,22.0,7.7,F,43.0
Airlines,Online,Basic Plan,No,5.0,THAILAND,22.0,7.7,M,36.0
Airlines,Online,Bronze Plan,No,11.0,SINGAPORE,22.1,5.53,F,79.0
Airlines,Online,Annual Silver Plan,No,375.0,SINGAPORE,291.75,72.94,M,47.0
Airlines,Online,Basic Plan,No,121.0,JAPAN,44.0,15.4,F,118.0
Airlines,Online,Basic Plan,No,11.0,HONG KONG,26.0,9.1,M,21.0
Travel Agency,Online,Value Plan,No,5.0,INDONESIA,28.0,10.64,F,48.0
Airlines,Online,Gold Plan,No,5.0,SINGAPORE,35.1,8.78,F,33.0
Airlines,Online,Silver Plan,No,15.0,SINGAPORE,0.0,10.89,M,25.0
Airlines,Online,Basic Plan,No,16.0,INDONESIA,18.0,6.3,F,38.0
Airlines,Online,Basic Plan,No,33.0,CHINA,26.0,9.1,F,42.0
Airlines,Online,Basic Plan,No,48.0,INDONESIA,37.0,12.95,F,33.0
Airlines,Online,Bronze Plan,No,12.0,SINGAPORE,22.1,5.53,M,64.0
Airlines,Online,Basic Plan,No,38.0,CHINA,44.0,15.4,F,52.0
Airlines,Online,Basic Plan,No,59.0,CHINA,40.0,14.0,M,46.0
Airlines,Online,Basic Plan,No,71.0,INDONESIA,37.0,12.95,F,42.0
Airlines,Online,Basic Plan,No,38.0,HONG KONG,26.0,9.1,M,30.0
Airlines,Online,Basic Plan,No,26.0,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,F,48.0
Airlines,Online,Basic Plan,No,6.0,THAILAND,18.0,6.3,M,39.0
Airlines,Online,Bronze Plan,No,21.0,SINGAPORE,38.35,9.59,F,23.0
Airlines,Online,Bronze Plan,No,82.0,SINGAPORE,69.55,17.39,F,32.0
Airlines,Online,Bronze Plan,No,10.0,SINGAPORE,32.9,8.22,M,49.0
Airlines,Online,Basic Plan,No,90.0,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,M,69.0
Airlines,Online,Basic Plan,No,48.0,INDONESIA,30.0,10.5,F,62.0
