Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commission (in value),Gender,Age,Predicted Claim,Claim Probability
Airlines,Online,Basic Plan,No,104.0,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,M,34.0,0,0.0022143258
Airlines,Online,Basic Plan,No,2.0,MALAYSIA,18.0,6.3,M,44.0,0,5.9072347e-05
Airlines,Online,Basic Plan,No,3.0,MALAYSIA,18.0,6.3,M,45.0,0,5.4558153e-05
Airlines,Online,Value Plan,No,1.0,INDIA,62.0,24.8,M,118.0,0,2.7284414e-05
Airlines,Online,Basic Plan,No,14.0,HONG KONG,26.0,9.1,F,43.0,1,0.26905295
Airlines,Online,Value Plan,No,4.0,INDONESIA,33.0,11.55,M,51.0,0,4.690821e-05
Airlines,Online,Basic Plan,No,14.0,THAILAND,22.0,7.7,M,44.0,0,0.00035436085
Airlines,Online,Value Plan,No,7.0,BRUNEI DARUSSALAM,15.0,6.0,M,71.0,0,1.14491e-06
Airlines,Online,Bronze Plan,No,31.0,SINGAPORE,27.0,6.75,M,14.0,1,0.097882204
Airlines,Online,Value Plan,No,24.0,"KOREA, REPUBLIC OF",58.0,20.3,F,23.0,0,0.0003685905
Airlines,Online,Gold Plan,No,7.0,SINGAPORE,35.1,8.78,M,21.0,0,0.00035920442
Airlines,Online,Basic Plan,No,189.0,AUSTRALIA,26.0,9.1,F,40.0,0,1.8219994e-06
Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,22.1,5.53,M,22.0,0,0.000199978
Airlines,Online,Basic Plan,No,226.0,AUSTRALIA,35.0,12.25,F,55.0,0,7.04139e-06
Airlines,Online,Basic Plan,No,1.0,MALAYSIA,18.0,6.3,F,45.0,0,5.1763847e-05
Airlines,Online,Basic Plan,No,41.0,CHINA,35.0,12.25,M,47.0,0,0.00014995117
Airlines,Online,Bronze Plan,No,30.0,SINGAPORE,69.55,17.39,M,27.0,1,0.08874235
Airlines,Online,Basic Plan,No,97.0,PHILIPPINES,37.0,12.95,F,27.0,0,1.220694e-05
Airlines,Online,Basic Plan,No,20.0,CHINA,44.0,15.4,F,24.0,0,4.540923e-06
Airlines,Online,Annual Silver Plan,No,366.0,SINGAPORE,252.85,63.21,M,53.0,1,0.97988373
Airlines,Online,Basic Plan,No,10.0,CHINA,35.0,12.25,M,59.0,1,0.05041489
Airlines,Online,Value Plan,No,18.0,CHINA,61.0,21.35,M,118.0,0,0.0021688445
Airlines,Online,Basic Plan,No,17.0,CAMBODIA,33.0,11.55,M,45.0,0,0.00029668343
Airlines,Online,Value Plan,No,15.0,HONG KONG,36.0,12.6,F,38.0,1,0.5453532
Airlines,Online,Basic Plan,No,12.0,CHINA,-26.0,9.1,F,33.0,0,0.000565839
Airlines,Online,Basic Plan,No,69.0,PHILIPPINES,37.0,12.95,F,39.0,0,1.3506409e-05
Travel Agency,Online,Premier Plan,No,12.0,INDONESIA,29.0,11.02,M,48.0,0,0.009988539
Airlines,Online,Basic Plan,No,202.0,CHINA,44.0,15.4,M,53.0,0,1.6701613e-05
Airlines,Online,Basic Plan,No,15.0,THAILAND,30.0,10.5,F,33.0,0,0.0004862012
Airlines,Online,Silver Plan,No,6.0,SINGAPORE,18.5,4.63,F,27.0,0,0.0041214232
Airlines,Online,Gold Plan,Yes,33.0,SINGAPORE,68.6,17.15,M,72.0,1,0.9346132
Airlines,Online,Basic Plan,No,17.0,THAILAND,22.0,7.7,F,59.0,0,0.008514028
Travel Agency,Offline,Comprehensive Plan,No,43.0,MALAYSIA,29.0,9.57,F,87.0,0,0.00014328623
Travel Agency,Online,Value Plan,No,33.0,SPAIN,109.0,41.42,M,48.0,0,1.5802563e-05
Airlines,Online,Silver Plan,No,9.0,SINGAPORE,32.5,8.13,M,62.0,0,0.00043084673
Airlines,Online,Basic Plan,No,5.0,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,F,70.0,0,8.938828e-05
Travel Agency,Offline,Comprehensive Plan,No,4.0,THAILAND,29.0,9.57,F,16.0,0,8.5562206e-05
Airlines,Online,Basic Plan,No,19.0,INDIA,35.0,12.25,F,66.0,0,0.0027923337
